Item Name	Roastery	Roast Level	Region	Flavour Profile	Roast Type	Process	Variety	Brewing Method	Coffee Origin	Rating	Recommended	Price
Ethiopia Jenny's BARREL COFFEE - maturing in whiskey barrels	The naughty dog	Omni	Agaro - Jimma	Chocolate,Caramel,Forest fruit,Whiskey	Omni (recommended for both Filter & Espresso Coffee)	Washed	74110,74112,Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Ethiopia	4.5	96%	14,99
Rwanda KIRAMBO	The naughty dog	Omni	Nyamasheke District	Milk chocolate,Blueberries,Mulled wine,Lemon marmalade	Omni (recommended for both Filter & Espresso Coffee)	Natural	Red Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Rwanda	4.4	100%	11,99
Ethiopia SUKE QUTO - washed 1000g	The naughty dog	Light to Medium Light	Guji	Bergamot,Peach ice tea,Black tea,Flowers	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			49,99
Ethiopia Jenny's BARREL COFFEE - 1000g	The naughty dog	Omni	Agaro - Jimma	Chocolate,Caramel,Forest fruit,Whiskey	Omni (recommended for both Filter & Espresso Coffee)	Washed	74110,74112,Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Ethiopia	4.5	96%	54,99
Ethiopia GORAA	The naughty dog	Light to Medium Light	Guji	Peach tea,Květinový med,Milk chocolate	Filter	Natural	74110,74112,Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			11,99
Ethiopia MALAWO - black honey	The naughty dog	Light to Medium Light	Bensa	Peach ice tea,Jasmine,Forest strawberries,Passion fruit	Filter	Honey	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	5.0	100%	12,99
Kenya NGANDU	The naughty dog	Light to Medium Light	Nyeri	Redcurrant,Maple syrup,Lime	Filter	Washed	SL28,SL34	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya	5.0	100%	11,99
Colombia BOLIVAR	The naughty dog	Light to Medium Light	Antioquia	Caramel,Forest fruit,Rum	Filter	Natural	Castillo,Caturra	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia	4.7	100%	11,99
Ethiopia GENJI CHALLA	The naughty dog	Light to Medium Light	Jimma - Oromia	Bergamot,Black tea,Nectarines,Orange	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	4.3	50%	11,99
UNICORN BLEND #5	The naughty dog	Light to Medium Light		Black tea,Květinový med,Apricots,Vanilla,Jelly	Filter		Castillo,Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia,Colombia			13,99
Brazil RANCHO GRANDE	The naughty dog	Medium to medium dark	Sul de Minas	Dark Bitter chocolate,Hazelnuts,Demerara sugar,Walnuts	Espresso	Natural	Mundo Novo	Espresso,Moka pot	Brazil			9,99
Yemen BANI AL AREEF	The naughty dog	Light to Medium Light	Jemen - Haraz	Black tea,Cotton candy,Red orange,Dried strawberries	Filter	Experimental	Jaadi	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Yemen	4.7	100%	18,99
Ethiopia SUKE QUTO - washed	The naughty dog	Light to Medium Light	Guji	Black tea,Flowers,Bergamot,Peach ice tea	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			11,99
Brazil RANCHO GRANDE - 1000g	The naughty dog	Medium to medium dark	Sul de Minas	Dark Bitter chocolate,Hazelnuts,Demerara sugar,Walnuts	Espresso	Natural	Mundo Novo	Moka pot,Espresso	Brazil			39,99
Brazil FAZENDA SALTO - 1000g	The naughty dog	Medium to medium dark	Sul de Minas	Sugarcane,Dark Bitter chocolate,Plum jam	Espresso	Natural	Yellow Bourbon	Moka pot,Espresso	Brazil	4.3	83%	39,99
Ethiopia MALAWO - black honey - 1000g	The naughty dog	Light to Medium Light	Bensa	Jasmine,Passion fruit,Forest strawberries,Peach ice tea	Filter	Honey	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	5.0	100%	59,99
Ethiopia GORAA - 1000g	The naughty dog											54,99
Kenya RUNG'ETO KII AA	Candycane Coffee	Light to Medium Light	Kirinyaga	Vanilla,Blackberry jam,Lime	Filter	Washed	Batian,SL28,SL34,Ruiru 11	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya			14,99
Nicaragua PARAINEMA #2	Candycane Coffee	Medium to medium dark	Matagalpa	Chocolate,Crème brûlée,Pear	Espresso	Natural	Parainema	Moka pot,Espresso	Nicaragua			13,99
El Salvador SANTA RITA	Candycane Coffee	Light to Medium Light		Blueberries,Mulled wine,Plums	Filter	Anaerobic	Bourbon,Hibrido de San Francisco	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	El Salvador			13,99
HOME OFFICE blend	Candycane Coffee	Medium to medium dark		Dark Bitter chocolate,Caramel,Hazelnuts	Espresso	Natural	Red Catuai	Espresso,Moka pot	Indonesia,Brazil	4.4	92%	11,99
Costa Rica DON ELI	Candycane Coffee	Medium to medium dark	Kostarika - La Zona de los Santos	Cocoa,Cherries,Flower honey	Espresso	Honey	Catuai	Espresso,Moka pot	Costa Rica			13,99
Costa Rica HACIENDA SONORA - cascara	Candycane Coffee		Grecia	Rhubarb,Ripe cherries,Rosehip tea		Natural	SL28,Caturra,Catuai,Marsellesa,Sarchimor (T5296)		Costa Rica	5.0	100%	14,99
KANCL ESPRESSO blend - 1000g	Candycane Coffee	Medium to medium dark	Brazílie - Lambari	Dark Bitter chocolate,Honey,Hazelnuts	Espresso	Natural	Red Catuai	Espresso,Moka pot	Indonesia,Brazil	3.8	75%	34,99
DECAF capsules for nespresso coffee machines - 12pcs/pack	Candycane Coffee	Medium to medium dark	Huila	Raspberries,Milk chocolate,Nutella	Espresso			Moka pot,Espresso	Colombia			8,99
CLASSIC capsules for nespresso coffee machines - 12pcs/pack	Candycane Coffee	Medium to medium dark	Sao Joao Del Rey	Caramel,Hazelnuts,Milk chocolate	Espresso			Moka pot,Espresso	Brazil	5.0	100%	8,99
FUDGE capsules for nespresso coffee machines - 12pcs/pack	Candycane Coffee		Santa Ana	Honey,Tropical fruit		Anaerobic	SL28		El Salvador			11,99
Colombia PURPLE HAZE	DAK Coffee Roasters	Light to Medium Light	Huila	Forest fruit,Gummy bears,Lískooříškový krém	Filter	Experimental	Typical	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia			22,99
Ethiopia LEMON SQUEEZE	DAK Coffee Roasters	Light to Medium Light	Hamasho	Peach,Vanilla,Ice tea,Lemon tea,Sedmikráska	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	5.0	100%	17,99
Colombia COCO BONGO - espresso	DAK Coffee Roasters	Medium to medium dark	Huila	Pineapple drink,Banánový milkshake,Coconut	Espresso	Experimental	Bourbon,Caturra	Moka pot,Espresso	Colombia			19,99
Rwanda HONEYSIDE	DAK Coffee Roasters	Light to Medium Light	Gakenke	Tangerines,Apricots,Honey,Sugarcane	Filter	Washed	Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Rwanda			17,99
BISCOTTI pen	DAK Coffee Roasters	Medium to medium dark	Cajamarca	Cocoa,Cranberries,Almond,Honey	Espresso	Washed	Caturra,Bourbon	Espresso,Moka pot	Peru			15,99
Colombia CANDY CRUSH - filter	DAK Coffee Roasters	Light to Medium Light	Quindìo	Caramel,Chewing gums,Marshmallow,Jahodové lízátko	Filter	Experimental	Caturra	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia	5.0	100%	29,99
Brazil PRETTY NUTS	DAK Coffee Roasters	Medium to medium dark	Alta Mogiana	Peanut butter,Forest fruit,Liqueur Grand Marnier,Milk chocolate	Espresso	Natural	Catuai	Moka pot,Espresso	Brazil	4.0	100%	15,99
Peru PINEAPPLE EXPRESS - geisha	DAK Coffee Roasters	Light to Medium Light	Santa Teresa	Pineapple,Lemons,Cocoa,Kiwi	Filter	Natural	Geisha (Gesha)	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Peru			29,99
Kenya BERRY BLISS	DAK Coffee Roasters	Medium to medium dark	Kirinyaga	Cocoa,Forest fruit,White chocolate	Espresso	Washed	SL28,SL34	Espresso,Moka pot	Kenya			17,99
Ethiopia PAMPLEMOUSSE	DAK Coffee Roasters	Medium to medium dark	Guji	Grapefruit,Strawberries,Kumquat	Espresso	Natural	Heirloom	Moka pot,Espresso	Ethiopia			16,99
Colombia VELVET PEACH	DAK Coffee Roasters	Light to Medium Light	Quindìo	Peach,Flowers,Lemon ice cream	Filter	Experimental	Caturra	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia			29,99
Rwanda RUSHASHI - OWOC	HAYB Speciality Coffee	Light to Medium Light	Gakenke	Apple,Forest fruit	Filter	Washed	Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Rwanda	3.9	75%	13,99
Brazil CERRADO - KLASYK	HAYB Speciality Coffee	Light to Medium Light	Cerrado Patrocinio	Chocolate	Filter	Natural		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Brazil	4.0	100%	12,99
WHAT THE FUNK espresso blend	HAYB Speciality Coffee	Medium to medium dark	Guji	Milk chocolate,Forest fruit,Red fruits	Espresso		Heirloom	Espresso,Moka pot	Ethiopia	3.9	60%	14,99
Ethiopia ACACIA - KWIAT	HAYB Speciality Coffee	Light to Medium Light	Guji	Honey,Black tea,Flowers,Citrus	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			13,99
Colombia LA PRADERA	HAYB Speciality Coffee	Light to Medium Light	Santander	Apricots,Apple,Watermelon	Filter	Natural	Castillo,Tabi	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia	4.5	100%	15,99
Colombia EL PUENTE - TROPICS	HAYB Speciality Coffee	Light to Medium Light	Cauca	Caramel,Rum,Tropical fruit	Filter	Natural		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia	3.8	100%	13,99
Kenya KIANGOMBE AA	HAYB Speciality Coffee	Light to Medium Light	Keňa - Gichugu	Cranberries,Blackberry,Rhubarb	Filter	Washed	SL28,SL34	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya			16,99
Ethiopia CHELEKTU	HAYB Speciality Coffee	Light to Medium Light	Yirgacheffe	White tea,Lemon peel,Orange flower	Filter	Natural	Dega,Kurume,Wolisho	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			15,99
Rwanda HORIZON - natural	Father's Coffee Roastery	Light to Medium Light	Huye	Strawberries,Cream,Citronáda	Filter	Natural	Red Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Rwanda			18,99
Ethiopia BOMBE - espresso	Father's Coffee Roastery	Medium to medium dark	Sidamo	Apricots,Black tea,Jasmine,Gingerbread,Bergamot	Espresso	Washed	Heirloom	Espresso,Moka pot	Ethiopia	4.0	100%	16,99
Rwanda HORIZON - washed	Father's Coffee Roastery	Light to Medium Light	Kigoma	Pineapple,Tangerines,Vanilla	Filter	Washed	Red Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Rwanda			16,99
MOTHER-SHIP BLEND - 1000g	Father's Coffee Roastery	Medium to medium dark	Cuzco	Milk chocolate,Flowers	Espresso		Caturra,Heirloom,Bourbon	Espresso,Moka pot	Peru,Ethiopia	4.0	50%	37,99
Peru LUZ MARINA WASHED	Father's Coffee Roastery	Light to Medium Light	Chirinos	Hibiscus,Green apple,Lískooříškový krém	Filter	Washed	Catuai,Pache,Cajarmarca	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Peru			15,99
Ethiopia ARBEGONA	Father's Coffee Roastery	Light to Medium Light		Lemon peel,Cuba Libre,Chamomile	Filter	Natural	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			18,99
Ethiopia BESHASHA	Father's Coffee Roastery	Light to Medium Light	Jimma - Oromia	Peach,Black tea,Lemons	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			17,99
Colombia CAUCA - decaffeinated	Father's Coffee Roastery	Light to Medium Light	Cauca	Lime,Tangerines,Almonds in sugar	Filter	Washed	A mixture of varieties	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia			18,99
MOTHER-SHIP BLEND	Father's Coffee Roastery	Medium to medium dark	Etiopie- Chelchelie	Milk chocolate,Flowers	Espresso	Washed	Caturra,Bourbon	Espresso,Moka pot	Peru,Ethiopia	4.0	50%	13,99
Brazil CAFEINA	Father's Coffee Roastery	Medium to medium dark	Sul de Minas	Sweet tobacco,Hazelnut butter	Espresso	Natural	Mundo Novo,Yellow Catuai	Espresso,Moka pot	Brazil	2.9	50%	11,99
Brazil CAFEINA - 1000g	Father's Coffee Roastery	Medium to medium dark	Sul de Minas	Hazelnut butter,Sweet tobacco	Espresso	Natural	Mundo Novo,Yellow Catuai	Moka pot,Espresso	Brazil	2.9	50%	34,99
Ethiopia BOMB	Father's Coffee Roastery	Light to Medium Light	Sidamo	Bergamot,Black tea,Jasmine,Gingerbread,Apricots	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	4.5	100%	16,99
Ethiopia BOMBE - nespresso capsules 10pcs/pack	Father's Coffee Roastery		Sidamo	Black tea,Jasmine,Gingerbread,Bergamot		Washed	Heirloom		Ethiopia	4.5	100%	8,49
Brazil CAFEINA - nespresso capsules 10pcs/pack	Father's Coffee Roastery		Carmo da Cachoeira	Nuts,Chocolate,Marzipan		Natural			Brazil	2.9	50%	7,99
Ethiopia HALO BERITI - natural	Industra Coffee	Light to Medium Light	Yirgacheffe	Peach,Figs,Strawberries	Filter	Natural	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			16,99
Bolivia RENE MAMANI	Industra Coffee	Light to Medium Light	La Paz	Cranberries,Hluchavka,Honey	Filter	Anaerobic	Catuai,Caturra	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Bolivia			14,99
Mexico SAN AGUSTIN LOXICHA	Industra Coffee	Medium to medium dark	Oaxaca	Almond,Dark chocolate,Cherries	Espresso	Washed	Pluma Hidalgo	Espresso,Moka pot	Mexico			13,99
AUTOMATIC ESPRESSO blend	Industra Coffee	Medium to medium dark	Serra Negra	Hazelnuts,Dark chocolate,Candied orange	Espresso	Natural		Espresso,Moka pot	Brazil	4.5	100%	37,99
Mexico XOCHILTEPEC	Industra Coffee	Light to Medium Light	Oaxaca	Pineapple,Black tea,Panela	Filter	Washed	Typical	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Mexico			14,99
Guatemala ASPROCDEGUA	Industra Coffee	Medium to medium dark	Huehuetenango	Caramel,Blackberry,Pecans	Espresso	Washed	Caturra,Catimor,Bourbon,Pache,Maragogype	Espresso,Moka pot	Guatemala	5.0	100%	14,99
Indonesia FRINSA SARAPAN	The Barn	Light to Medium Light	West Java	Plums,Chocolate mousse,Oolong	Filter	Washed		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Indonesia			16,99
Indonesia RADIOPHARE	The Barn	Light to Medium Light	West Java	Passionflower,Raisins,Cinnamon,Plums,Demerara sugar	Filter	Natural	Catimor,Line S,Typical	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Indonesia	4.7	100%	16,99
Rwanda MAHEMBE	The Barn	Light to Medium Light	Western Province	Cocoa,Nutmeg,Cherries	Filter	Washed	Red Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Rwanda	4.7	100%	14,99
Brazílie DATTERA RESERVE 	The Barn	Omni	Cerrado	Nougat,Cherry jam	Omni (recommended for both Filter & Espresso Coffee)	Natural	Aramosa	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Brazil	4.6	100%	16,99
Peru AROMAS DEL VALLE	The Barn	Medium to medium dark	Cajamarca	Tangerines,Cookies	Espresso	Washed	Catuai,Caturra	Moka pot,Espresso	Peru	3.5	100%	15,99
Colombia EL OBRAJE - gesha	The Barn	Light to Medium Light	Nariňo	Jasmine,Passion fruit	Filter	Natural	Geisha (Gesha)	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia			37,99
Burundi BUMBA HILL	The Barn	Omni	Kayanza	Tangerines,Roses	Omni (recommended for both Filter & Espresso Coffee)	Washed	Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Burundi			15,99
Guatemala INSTANT BAGS 6pcs/pack	The Barn		Huehuetenango	Malt,Blood orange					Guatemala			17,99
Brazil MOCOCA - capsules 10pcs/bal	The Barn		Mococa	Caramel,Vanilla					Brazil	5.0	100%	8,49
EASTER FILTER blend - Easter limited edition	Square Mile	Light to Medium Light	Kirinyaga	Apple blossom,Cherry pie	Filter	Washed	Caturra	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya,Peru			19,99
THE FILTER BLEND	Square Mile	Light to Medium Light	Lempira	Nougat,Plums,Raisins	Filter	Washed	A mixture of varieties	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Peru,Honduras			17,99
Kenya UVUU	Square Mile	Light to Medium Light	Makueni	Gooseberry,Bergamot,Baked apples	Filter	Washed	Batian,Sl34,SL28	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya			22,99
Ethiopia TELILA HONEY YUKRO	Square Mile	Light to Medium Light	Jimma	White peach,Apricots	Filter	Honey	JARC 74110,JARC 74112	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	5.0	100%	18,99
EASTER ESPRESSO blend - Easter limited edition	Square Mile	Medium to medium dark	Kirinyaga	Chocolate,Cherries	Espresso	Washed	Caturra	Moka pot,Espresso	Kenya,Peru	1.5	0%	19,99
Brazil THE FILTER DECAF - decaffeinated	Square Mile	Light to Medium Light	Cerrado	Black cherries,Chocolate,Caramel	Filter		Catuai,Mundo Novo	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Brazil			18,99
Peru LA BERMEJA	Square Mile	Medium to medium dark	Cajamarca	Cranberries,Caramel,Almond	Espresso	Washed	Catimor,Catuai,Pache	Moka pot,Espresso	Peru			17,99
Ethiopia CHALCHISSA	Square Mile	Medium to medium dark	Jimma	Strawberries,Caramel,Cherries	Espresso	Washed	JARC,JARC 74110	Moka pot,Espresso	Ethiopia			18,99
RED BRICK ESPRESSO blend	Square Mile	Medium to medium dark	Sul de Minas	Chocolate,Fudge,Almond,Orange	Espresso		A mixture of varieties	Moka pot,Espresso	Brazil,Colombia			18,99
SWEETSHOP ESPRESSO blend - 2022 - 1000g	Square Mile	Medium to medium dark	Jimma	Berries,Peach,Marshmallow,Apricots	Espresso		Heirloom	Moka pot,Espresso	Ethiopia	3.0	100%	59,99
China AQI BADU	Square Mile	Light to Medium Light	Yunnan	Honey,Prunes,Cocoa nibs	Filter	Natural	Catimor	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	China			22,99
Ethiopia TELILA HONEY GENJI CHALLA - espresso	Square Mile	Medium to medium dark	Jimma	Tangerines,Nectarines,Syrup	Espresso	Honey	74110,74112	Moka pot,Espresso	Ethiopia			18,99
Ethiopia KOKEB SIWANI	Gardelli Coffee	Omni	Yirgacheffe	Orange,Strawberries,Blueberries,Papaya,Lime	Omni (recommended for both Filter & Espresso Coffee)	Natural	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Ethiopia	5.0	100%	19,99
EL MANGO pen	Gardelli Coffee	Omni	Cajamarca	Almond,Honey,Apple,Lemonade	Omni (recommended for both Filter & Espresso Coffee)	Washed	Catuai,Pache	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Peru			15,99
Ethiopia URAGA	Gardelli Coffee	Omni	Uraga	Orange,Strawberries,Mango,Papaya	Omni (recommended for both Filter & Espresso Coffee)	Anaerobic	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Ethiopia	4.3	100%	19,99
CIGNOBIANCO® SIGNATURE BLEND	Gardelli Coffee	Medium to medium dark	Santa Rosa	Caramel,Milk chocolate,Plums,Almond	Espresso		Caturra,Heirloom	Espresso,Moka pot	Guatemala,Ethiopia	4.1	80%	13,99
Ethiopia WUBANCHI	Gardelli Coffee	Omni	Guji	Roses,Orange,Pear,Raspberries,Elderflower	Omni (recommended for both Filter & Espresso Coffee)	Experimental	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Ethiopia	5.0	100%	19,99
Brazil FAZENDA BAIOKA	Gardelli Coffee	Omni	Cerrado Mineiro	Chocolate,Cherries,Grapes,Yellow plums	Omni (recommended for both Filter & Espresso Coffee)	Natural	Mundo Novo	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Brazil			15,99
Indonesia BLUE BATAK	Gardelli Coffee	Omni	Sumatra	Cranberries,Grapefruit,Honey,Maple syrup,Malt,Herbs	Omni (recommended for both Filter & Espresso Coffee)	Washed	Typical,Catimor	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Indonesia			16,99
Kenya THIRIKU AB	Gardelli Coffee	Omni	Nyeri	Grapefruit,Plums,Black currant,Lime	Omni (recommended for both Filter & Espresso Coffee)	Washed	SL28	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Kenya			17,99
Kenya KIGWANDI AB	Gardelli Coffee	Omni	Nyeri	Grapefruit,Lemons,Tomatoes,Mulberry	Omni (recommended for both Filter & Espresso Coffee)	Washed	SL28,SL34	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Kenya			17,99
Colombia VILLAMARIA - decaffeinated	Gardelli Coffee	Omni	Caldas	Guava,Brown sugar,Cocoa,Honey	Omni (recommended for both Filter & Espresso Coffee)	Natural	Castillo,Colombia	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Colombia	4.3	100%	16,99
Brazilia FAZENDA TAQUARAL nespresso capsules 10pcs/pack	Diamond's Roastery		Campo das Vertentes	Cocoa,Chocolate,Walnuts		Natural			Brazil			11,99
Ethiopia GENJI CHALLA	Beansmith.s	Light to Medium Light	Jimma	Strawberries,Špendlík,Yuzu,Green tea	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			13,99
Brazil DIAMOND - 1000g	Beansmith.s	Medium to medium dark	Minas Gerais	Hazelnuts,Milk chocolate	Espresso	Natural	Bourbon,Catuai,Mundo Novo	Moka pot,Espresso	Brazil	3.8	75%	34,99
Kenya KAHUNYO AA	Beansmith.s	Light to Medium Light	Murang’a	Black tea,Redcurrant,Apricots	Filter	Washed	Ruiru 11,SL28,SL34	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya			14,99
