Item Name	Roastery	Roast Level	Region	Flavour Profile	Roast Type	Process	Variety	Brewing Method	Coffee Origin	Rating	Recommended	Price
By PEDRO GARCIA	Beansmith.s	Light to Medium Light	San Francisco	Cola,Caramel,Orange	Filter	Washed	Bourbon,Pache	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Peru			13,99
Ethiopia ODACO	Beansmith.s	Light to Medium Light	Sidama	Cranberries,Peach,Apple,Oolong	Filter	Natural	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			14,99
Brazil DIAMOND	Beansmith.s	Medium to medium dark	Minas Gerais	Milk chocolate,Hazelnuts	Espresso	Natural	A mixture of varieties	Espresso,Moka pot	Brazil	3.8	75%	9,99
Costa Rica SONORA - cascara	Beansmith.s		Poas volcano	Honey,Rooibos		Natural	Caturra		Costa Rica			11,99
Brazil DIAMOND - nespresso capsules 20 pcs/pack	Beansmith.s		Minas Gerais	Hazelnuts,Milk chocolate		Natural	Bourbon,Catuai,Mundo Novo		Brazil	3.8	75%	13,99
Rwanda KARAMBI	Beansmith.s	Medium to medium dark	Western Province	Caramel,Blackberry,Fruit candies	Espresso	Washed	Bourbon	Moka pot,Espresso	Rwanda			13,99
Ethiopia CHELBESA	Beansmith.s	Medium to medium dark	Yirgacheffe	Raspberries,Milk chocolate,Green tea	Espresso	Natural	Heirloom	Moka pot,Espresso	Ethiopia			13,99
Ethiopia COMMON GROUNDS - maturing in whiskey barrels	Dark Woods Coffee	Omni	Yirgacheffe	Milk chocolate,Dried fruit,Vanilla	Omni (recommended for both Filter & Espresso Coffee)	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Ethiopia	4.8	97%	17,99
Ethiopia COMMON GROUNDS - sample	Dark Woods Coffee	Omni	Yirgacheffe	Milk chocolate,Dried fruit,Vanilla	Omni (recommended for both Filter & Espresso Coffee)	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Ethiopia	4.8	97%	5,49
Ethiopia CHELCHELE	Main Lane Coffee Roasters	Light to Medium Light	Yirgacheffe	Raspberries,Blackberry,Green tea	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	5.0	100%	18,99
Colombia NESTOR LASSO	Kmen Coffee Roasters	Light to Medium Light	Huila	Black tea,Orange,Cherry tomatoes	Filter	Anaerobic	Pink Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia			16,99
Nicaragua FINCA AURORA - espresso	Kmen Coffee Roasters	Medium to medium dark	Matagalpa	Apple,Nectarines,Dark chocolate	Espresso	Natural	Parainema	Moka pot,Espresso	Nicaragua			14,99
Colombia ANA GLORIA RODRIGUEZ	Kmen Coffee Roasters	Medium to medium dark	Huila	Cranberries,Lemon grass,Chocolate bar with raisins	Espresso	Washed	Caturra,Colombia	Moka pot,Espresso	Colombia			16,99
Costa Rica HACIENDA SONORA - cascara	Kmen Coffee Roasters		Grecia	Hibiscus,Rooibos,Hip		Natural	Catuai,Caturra,Marsellesa,SL28		Costa Rica			12,99
Columbia SYRACUSE	Kmen Coffee Roasters	Light to Medium Light	Caldas	Dark Bitter chocolate,Papaya,Rum	Filter	Anaerobic	Castillo	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia			16,99
Brazil BELA VISTA	Mima coffee roastery	Omni	Minas Gerais	Chocolate,Grapefruit,Caramel	Omni (recommended for both Filter & Espresso Coffee)	Anaerobic	Red Catuai	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Brazil			
Ethiopia WORKA	Mima coffee roastery	Omni	Yirgacheffe	Cocoa,Cream,Tropical fruit	Omni (recommended for both Filter & Espresso Coffee)	Natural	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Ethiopia	5.0	100%	
Mexico GILDO	Mima coffee roastery	Omni	Mixteca	Pineapple,Black tea,Nuts	Omni (recommended for both Filter & Espresso Coffee)	Washed	Bourbon,Typical	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Mexico	5.0	100%	
MIMA ESPRESSO blend	Mima coffee roastery	Medium to medium dark	Matas de Minas	Chocolate,Nuts	Espresso	Natural	A mixture of varieties	Espresso,Moka pot	Brazil			
Rwanda RUGALI ANAEROBIC	Mima coffee roastery	Omni	Nyamasheke	Elderberries,Strawberries,Nugátu	Omni (recommended for both Filter & Espresso Coffee)	Natural	Red Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Rwanda	5.0	100%	
Honduras EL TONTOLO	Mima coffee roastery	Omni	San Marcos	Honey,Nuts,Pear	Omni (recommended for both Filter & Espresso Coffee)	Anaerobic	Parainema	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Honduras			
MIMA ESPRESSO blend - 1000g	Mima coffee roastery	Medium to medium dark	Mate de Minas	Chocolate,Nuts	Espresso	Natural	A mixture of varieties	Espresso,Moka pot	Brazil			
Kenya MURARANDIA - Valentine's limited edition	Mima coffee roastery	Omni	Muranga	Green apple,Grapefruit,Nutmeg	Omni (recommended for both Filter & Espresso Coffee)	Washed	Ruiru 11,SL28,SL34	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Kenya			
Kenya KABETE	Mima coffee roastery	Light to Medium Light	Kiambu	Blueberries,Red wine,Strawberries	Filter	Washed	Ruiru 11,SL28,SL34	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya			
Colombia CÉSAR - pink bourbon	Mima coffee roastery	Light to Medium Light	Huila	Blueberries,Black tea,Rhubarb	Filter	Washed	Pink Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia			
Panama AUROMAR	Nordbeans	Light to Medium Light	Chiriqui	Caramel,Red apple,Green tea	Filter	Natural	Catuai	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Panama	4.5	67%	13,99
Brazil HORIZONT	Nordbeans	Medium to medium dark	Minas Gerais	Chocolate,Hazelnuts,Ripe fruit	Espresso	Natural	Yellow Catuai	Espresso,Moka pot	Brazil	3.5	50%	11,99
Ethiopia HAPPY BIRTHDAY KOFIO - espresso	Good Beans	Medium to medium dark	Sidama	Berry fruits,Chocolate,Tropical fruit	Espresso	Washed	Heirloom	Moka pot,Espresso	Ethiopia			16,99
Nicaragua NUEVA SEGOVIA	Good Beans	Omni	Nueva Segovia	Caramel,Milk chocolate,Black currant	Omni (recommended for both Filter & Espresso Coffee)	Washed	Caturra,Java,Pacas	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Nicaragua			16,99
Uganda MOUNT ELGON	Good Beans	Light to Medium Light	Mount Elgon	Fruit,Tropical fruit,Chewing gums	Filter	Natural		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Uganda			17,99
Ethiopia HAPPY BIRTHDAY KOFIO - filter	Good Beans	Light to Medium Light	Sidama	Berry fruits,Chocolate,Tropical fruit	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	5.0	100%	16,99
Peru CHIRINOS	Good Beans	Omni	Chirinos	Honey,Chocolate	Omni (recommended for both Filter & Espresso Coffee)	Washed	Caturra,Typical,Pache	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Peru	3.0	0%	16,99
Rwanda GAKENKE	Good Beans	Medium to medium dark	Gakenke	Candied orange,Stone fruit	Espresso	Washed	Bourbon	Moka pot,Espresso	Rwanda	3.8	33%	16,99
Ethiopia SAYISA - anaerobic	Concept Coffee Roasters	Light to Medium Light	Hambella	Blueberries,Gummy bears,Coke	Filter	Anaerobic	Dega	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	4.4	99%	16,99
PEACE OF CAKE ESPRESSO blend	Concept Coffee Roasters	Medium to medium dark	Caldas	Berries,Chocolate,Almond	Espresso	Natural	Castillo	Moka pot,Espresso	Brazil,Colombia			34,99
Rwanda GASHARU INTEGO – anaerobic	Concept Coffee Roasters	Light to Medium Light	Nyamasheke	Blueberries,Kakaové lupínky,Kiwi	Filter	Experimental	Red Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Rwanda			17,99
Rwanda GASHARU INTEGO - natural	Concept Coffee Roasters	Light to Medium Light	Nyamasheke	Strawberries,Milk chocolate,Stone fruit	Filter	Natural	Red Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Rwanda			16,99
Costa Rica LAS LAJAS	Concept Coffee Roasters	Light to Medium Light	Sabanilla de Alajuela	Pineapple,Nectarines,Sparkling wine	Filter	Natural	SL28	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Costa Rica			18,99
Colombia EL VERGEL	Concept Coffee Roasters	Light to Medium Light	Tolima	Banana,Chocolate,Strawberries	Filter	Anaerobic	Red Caturra,Yellow Caturra	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia			17,99
Kenya KEGWA	Concept Coffee Roasters	Light to Medium Light	Kirinyaga	Currant,Nectarines,Citrus	Filter	Washed	SL28,SL34	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya			17,99
Panama DAMARLI ESTATE	Concept Coffee Roasters	Medium to medium dark	Boquete	Nougat,Apple,Black currant	Espresso	Natural	Bourbon	Espresso,Moka pot	Panama			16,99
Peru LAS PINAS - espresso	Concept Coffee Roasters	Medium to medium dark	Huabal	Chocolate,Blackberry,Lime	Espresso	Natural	Catuai,Pache,Catura	Espresso,Moka pot	Peru			16,99
Ethiopia HALO BERITI - Easter barrel special	Concept Coffee Roasters	Medium to medium dark	Gedeb	Ananasový řez,Chocolate,Eggnog	Espresso	Natural	Heirloom	Moka pot,Espresso	Ethiopia			18,99
Costa Rica MONTERO FAMILY	Morgon Coffee Roasters	Light to Medium Light	Tarazzu	Chocolate cookies,Plums	Filter	Honey	Catuai	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Costa Rica			17,99
Costa Rica MONTERO FAMILY - espresso	Morgon Coffee Roasters	Medium to medium dark	Tarazzu	Peach,Chocolate,Coconut	Espresso	Honey	Catuai	Espresso,Moka pot	Costa Rica			17,99
Kenya GAKUYUINI	Morgon Coffee Roasters	Light to Medium Light	Kirinyaga	Blackberry,Jam,Gooseberry	Filter	Washed	SL28,SL34,K7	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya	4.4	99%	17,99
Colombia DECAF - nespresso capsules 15pcs/pack	19grams coffee		Huila	Chocolate,Hazelnuts,Passionflower		Washed	Bourbon,Castillo,Caturra,Colombia		Colombia			13,99
Colombia LA SERRANIA - decaffeinated - capsules 10pcs/bal	3FE		Huila	Dark Bitter chocolate,Lime jam		Washed	Caturra		Colombia			11,99
Ethiopia IDIDO	BeBerry Coffee	Light to Medium Light	Yirgacheffe	Orange flower,Bergamot,Ice tea,White peach	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	4.6	92%	16,99
El Salvador MAURICIO SALAVERRIA - natural	BeBerry Coffee	Medium to medium dark	Apaneca	Cherry compote,Walnuts,Mléčná tyčinka MilkyWay	Espresso	Natural	Red Bourbon	Espresso,Moka pot	El Salvador			14,99
Honduras LA FLORIDA	BeBerry Coffee	Medium to medium dark	El Paraiso	Milk chocolate,Cashew,Dried cranberries	Espresso	Natural	Yellow Catuai	Espresso,Moka pot	Honduras			13,99
Uganda ZEBIGI	BirdSong Coffee	Light to Medium Light	Elgon	Black tea,Pomelo,Ovesné sušenky	Filter	Washed	SL28,SL14,Nyasaland	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Uganda			13,99
MARKET PODS - nespresso capsules 10pcs/pack	Caravan Coffee Roasters		Ocotepeque	Milk chocolate,Honey,Red apple		Washed			Ethiopia,Honduras			12,99
DAILY PODS – nespresso capsules 10pcs/pack - caffeine-free	Caravan Coffee Roasters			Maple syrup,Chocolate brownie,Poached pear								11,99
Kenya AFTERLIFE - cascara in capsules 60pcs/pack	Coffea Circulor		Meru	Citrus,Mango			Batian		Kenya			27,99
Kenya RUBY BATIAN NX	Coffea Circulor	Light to Medium Light	Meru	Blueberries,Apple,Mango,Yellow plums	Filter	Natural	Batian	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya	5.0	100%	19,99
Ethiopia DUROMINA WX	Coffea Circulor	Light to Medium Light	Jimma	Apricots,Orange,Blackberry	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	4.0	100%	17,99
Ethiopia CHACHO NX	Coffea Circulor	Light to Medium Light	Gedeb	Apricots,Raspberries,Moruška	Filter	Natural	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			19,99
Kenya OUTO SL34 AA WX	Coffea Circulor	Light to Medium Light	Meru	Peach,Lime,Honey,Nutmeg,Rhubarb	Filter	Washed	SL34	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya			19,99
Panama AGATSBY GEISHA CCX - WCIGS Winner	Coffea Circulor	Light to Medium Light	Callejón Seco	Peach,Pear,Lychee,Prosecco,Roses,Tropical fruit	Filter	Experimental	Geisha (Gesha)	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Panama	5.0	100%	19,99
Kenya BISHOP R11 AA WHDX	Coffea Circulor	Light to Medium Light	Meru	Strawberries,Honey,Rhubarb,Vanilla	Filter	Experimental	Ruiru 11	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya			18,99
Ecuador INDERA GEISHA NX	Coffea Circulor	Light to Medium Light	Chaguerpamba	Blueberries,Peach,Jasmine,Roses	Filter	Natural	Geisha (Gesha)	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ecuador			19,99
Parami, Timor Leste - Filter / 250g	Colonna Coffee	Light to Medium Light	Ermera	Raspberries,White grapes,Star Anise	Filter	Honey		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	East Timor			
Uraga Gomoro Natural, Ethiopia - Filter / 250g	Colonna Coffee	Light to Medium Light	Oromia	White chocolate,Lemons,Raspberries,Candied fruit	Filter	Natural		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			
Honduras FRANCIS ARTURO ROMERO	Colonna Coffee	Light to Medium Light	Copan	Strawberries,Almond,Nougat	Filter	Natural		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Honduras			
Nikaragua JESUS MOUNTAIN MARSELLESA	Colonna Coffee	Light to Medium Light	Nueva Segovia	White chocolate,Hazelnuts,Watermelon	Filter	Washed		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Nicaragua	0.0	0%	
Kolumbie LA INDEPENDENCIA - short	Colonna Coffee		Cauca	Cherries,Green apple		Washed			Colombia			
Peru CAJAMARCA CHIRINOS - long	Colonna Coffee		Cajamarca	Grapes,Pear,Almond		Washed			Peru			
Kostarika INES SARCHIMOR - short	Colonna Coffee		San Isidro	Banana,Red fruits,Raspberries,Nuts		Natural			Costa Rica			
Etiopie KOCHERE BOJI - long	Colonna Coffee		Kochere	Tea,Cream body,Raspberries		Washed			Ethiopia			
Ibrahim Hussein, Ethiopia Filter	Colonna Coffee	Light to Medium Light	Oromia	Gooseberry,Cashew,Pudding	Filter	Washed		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	0.0	0%	
El Diamante, Peru	Colonna Coffee	Light to Medium Light	Cajamarca	Pear,Caramel,Ginger	Filter	Washed		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Peru	0.0	0%	
Aquiares Estate PB, Costa Rica	Colonna Coffee	Light to Medium Light	Turrialba	Cocoa,Kiwi,Nectarines	Filter	Washed		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Costa Rica	0.0	0%	
Kerinci, Sumatra	Colonna Coffee	Light to Medium Light	Sumatra	Star Anise,Red orange,Plums	Filter	Washed		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Indonesia			
Kiluku, DRC	Colonna Coffee	Light to Medium Light	Kivu	Muscovado sugar,Chamomile,Dried apricots	Filter	Washed		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	DR Congo			
Foundation Capsules (Box of 10) - short	Colonna Coffee	Medium to medium dark	Huehuetenango	Caramel,Baked apples,Orange	Espresso	Washed		Moka pot,Espresso	Guatemala			
Foundation Capsules (Box of 10) - long	Colonna Coffee	Medium to medium dark	Oromia	Almond,Honey,Bergamot	Espresso	Washed		Moka pot,Espresso	Ethiopia			
Discovery Capsules (Box of 10) - short	Colonna Coffee	Medium to medium dark	Kayanza	Black currant,Cocoa,Hazelnuts	Espresso	Natural		Moka pot,Espresso	Burundi			
Discovery Capsules (Box of 10) - long	Colonna Coffee	Medium to medium dark	Gedeo	Strawberries,Orange,Vanilla	Espresso	Natural		Moka pot,Espresso	Ethiopia			
Etiopie IBRAHIM HUSSEIN - short	Colonna Coffee	Medium to medium dark	Oromia	Caramel,Cashew,Lime	Espresso	Washed		Moka pot,Espresso	Ethiopia			
Peru OSU MICROLOT - long	Colonna Coffee	Medium to medium dark	Cajamarca	Cocoa,Blackberry,Orange	Espresso	Washed		Moka pot,Espresso	Peru			
Burundi RIMIRO - long	Colonna Coffee	Medium to medium dark	Kayanza	Red orange,Clove,Currant	Espresso	Natural		Moka pot,Espresso	Burundi			
Indonésie KERINCI - short	Colonna Coffee	Medium to medium dark	Sumatra	Figs,Grapefruit,Ginger	Espresso	Washed		Moka pot,Espresso	Indonesia			
Colombia GRAN GALOPE - nespresso capsules 10pcs/bal	Colonna Coffee		Cauca	Chocolate,Gingerbread,Sponge cakes		Washed			Colombia			
Colombia FINCA LOS ALPES - nespresso capsules 10pcs/bal	Colonna Coffee		Antioquia	Wine,Sweets		Experimental	Caturra		Colombia			
Colombia FINCA COLORADO H1 - nespresso capsules 10pcs/bal	Colonna Coffee			Flowers,Fruit juice		Natural	H1		Colombia			
Brazil SANTA ALINA - nespresso capsules 10pcs/bal	Colonna Coffee		Sao Sebastiao	Honey,Chocolate		Natural	Caturra,Catimor		Brazil			
Guatemala EL DURAZNO - nespresso capsules 10pcs/bal	Colonna Coffee			Sweetness		Honey			Guatemala			
Colombia EL PLACER - geisha - nespresso capsules 10pcs/bal	Colonna Coffee		Quindìo	Flowers		Anaerobic	Geisha (Gesha)		Colombia	4.0	100%	
Burundi RUBIRIZI - nespresso capsules 10pcs/bal	Colonna Coffee		Burundi - Rubirizi	Spices,Sweetness,Wine		Washed	Bourbon		Burundi			
Colombia El Eden - nespresso capsules 10pcs/bal - decaffeinated	Colonna Coffee		Quindìo	Sweetness,Light acidity					Colombia			
Colombia EL MESÓN - pink bourbon - nespresso capsules 10pcs/bal	Colonna Coffee		Huila	Red fruits,Cream body		Anaerobic	Pink Bourbon		Colombia			
East Timor ATSABE NATURAL - nespresso capsules 10pcs/pack	Colonna Coffee		Ermera	Berries,Peach		Natural	Moka,Timor Hybrid,Typical		East Timor			
Colombia DIEGO SAMUEL - nespresso capsules 10pcs/pack	Colonna Coffee		Tolima	Tropical fruit,Spices,Flowers		Experimental	Caturra		Colombia			
Colombia OBRAJE BOSQUE - nespresso capsules 10pcs/pack	Colonna Coffee		Tangua	Fruit juice,Cherries		Anaerobic	Castillo,Caturra,Yellow Bourbon		Colombia	5.0	100%	
Costa Rica AQUIARES CENTROAMERICANO - nespresso capsules 10pcs/pack	Colonna Coffee		Antioquia	Mojito,Orange lemonade		Anaerobic	Caturra		Costa Rica			
Panama CHILLED CHERRY GESHA - nespresso capsules 10pcs/pack	Colonna Coffee		Boquete	Cherries,Lemons,Cherry liqueur		Experimental	Geisha (Gesha)		Panama	4.0	100%	
Uganda MAHANGO NATURAL	Colonna Coffee	Light to Medium Light	Rwenzori	Watermelon,Strawberries	Filter	Natural		Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Uganda			
Burundi BURAMBI	Colonna Coffee	Light to Medium Light	Gitaza	Peach,Red apple,Pear,Lime,Tangerines,Cherries	Filter	Natural	Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Burundi			
Brazil RAFAEL VINHAL - birthday coffee	Dos Mundos	Light to Medium Light	Minas Gerais	Flowers,Carambola,Rambutan	Filter	Experimental	Catuaí 144	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Brazil	4.0	100%	15,99
Kenya KEGWA AA	Dos Mundos	Light to Medium Light	Kirinyaga	Blackberry,White grapes,Limetkový cheesecake	Filter	Washed	Batian,SL28,SL34,Ruiru 11	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya	4.5	100%	14,99
Rwanda BWENDA - filter	Dos Mundos	Light to Medium Light	Nyamagabe	Black currant,White chocolate,Wildflowers	Filter	Washed	Red Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Rwanda			13,99
KLAKSON COFFEE ESPRESSO blend - 1000g	Dos Mundos	Medium to medium dark		Nougat,Pralines,Dried dates	Espresso		A mixture of varieties	Moka pot,Espresso	Brazil,Ethiopia,Nicaragua			34,99
KLAKSON COFFEE ESPRESSO blend	Dos Mundos	Medium to medium dark		Nougat,Pralines,Dried dates	Espresso		A mixture of varieties	Moka pot,Espresso	Brazil,Ethiopia,Nicaragua			12,99
Colombia MARISOL NAÑEZ	Dos Mundos	Light to Medium Light	Huila	Peach,Lime,Green apple	Filter	Washed	Pink Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia	4.5	100%	14,99
KLAKSON COFFEE nespresso capsules - 10 pcs/ pack	Dos Mundos			Cocoa,Marzipan,Plum jam			Bourbon,Yellow Catuai		Brazil,Ethiopia,Peru	3.9	100%	8,49
Colombia BENEDICTO PUENTES	Dos Mundos	Light to Medium Light	Tolima	Baklava,Orange flower,Růžové pomelo	Filter	Experimental	Castillo	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia			13,99
Decaf capsules for nespresso coffee machines - 10pcs/bal - decaffeinated	Doubleshot			Cocoa,Honey,Vanilla		Washed	Caturra		Colombia			7,49
Funky capsules for nespresso coffee machines - 10pcs/bal	Doubleshot		Volcan	Pineapple,Cocoa nibs,Mon Cheri		Natural	Red Catuai		Panama	5.0	100%	8,49
Start capsules for nespresso coffee machines - 10pcs/pack	Doubleshot		Guatemala - Ayarza lake	Caramel,Milk chocolate,Hazelnuts			Catuai,Bourbon		Guatemala,Brazil	5.0	100%	7,49
FIFTY ESPRESSO blend	Fiftybeans	Medium to medium dark	Bálsamo - Quezaltepec	Dark Bitter chocolate,Dutch cocoa,Cocoa nibs	Espresso		Catuai,Castillo	Espresso,Moka pot	Colombia,Brazil	4.8	100%	11,99
BLØND FILTER blend	Fiftybeans	Light to Medium Light	Mixteca	Nougat,Cocoa,Nuts,Citrus	Filter		Catuai,Typical,Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia,Mexico	4.3	100%	11,99
