Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_consumption
Angola,1200000,1800000,2100000,1200000,1500000,600000,1200000,2400000,1800000,1200000,1200000,1200000,1200000,900000,900000,900000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,46500000
Bolivia,1500000,1620000,1650000,1710000,1770000,1830000,1890000,1950000,1980000,2040000,2100000,2190000,2250000,2310000,2700000,2460000,2520000,2610000,2700000,2760000,2850000,2940000,3030000,3120000,3210000,3300000,3420000,3510000,3600000,3660000,75180000
Brazil,492000000,510000000,534000000,546000000,558000000,606000000,660000000,690000000,732000000,762000000,792000000,815400000,825000000,852000000,896760000,932280000,979860000,1026600000,1059600000,1103400000,1147920000,1183200000,1219800000,1205100000,1219980000,1230480000,1273500000,1319820000,1332000000,1320000000,27824700000
Burundi,120000,96000,102000,114600,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,114360,93600,81420,86100,83940,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,3412020
Ecuador,21000000,21000000,21000000,21000000,21000000,21000000,18000000,18000000,18000000,13800000,12000000,12000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9300000,9300000,9300000,9300000,9300000,9300000,8940000,381540000
Indonesia,74520000,76800000,79140000,81540000,84000000,86580000,89160000,91920000,94680000,97560000,100560000,120000000,106740000,109980000,120000000,150000000,169980000,199980000,199980000,199980000,199980000,220020000,234000000,255000000,265020000,273000000,279000000,285000000,288000000,288360000,4920480000
Madagascar,21000000,18000000,21000000,21600000,9999960,10020000,10020000,10020000,10020000,3360000,5346000,7680000,13020000,19980000,28020000,28020000,28020000,28020000,28020000,28020000,28020000,27000000,25800000,24600000,23400000,22200000,21600000,21900000,22500000,22500000,588705960
Malawi,120000,120000,120000,120000,120000,120000,120000,120000,120000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,2340000
Papua New Guinea,180000,180000,180000,120000,120000,120000,120000,120000,60000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,85800,74160,102660,122340,115440,108000,120000,120000,120000,120000,3608400
Paraguay,900000,900000,900000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,35100000
Peru,11400000,11400000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,13200000,13200000,13200000,13200000,13200000,13200000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,402000000
Rwanda,60000,60000,60000,60000,60000,60000,60000,180000,180000,120000,120000,120000,19980,19980,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,2139960
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,294000
Zimbabwe,480000,480000,480000,499980,499980,396000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,8595960
Congo,180000,160020,160020,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,5360040
Cuba,12780000,12780000,11700000,11646000,11640000,11640000,11340000,11700000,12000000,12000000,12780000,13200000,13440000,13440000,13440000,13440000,13440000,13440000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,12960000,384006000
Dominican Rep.,19200000,19200000,19200000,19200000,19800000,21000000,19500000,19500000,19500000,19500000,19500000,20411880,20411880,20400000,22679880,22679880,22679880,22680000,22680000,22680000,22680000,22680000,22680000,22999980,23280000,23280000,23400000,23400000,23400000,22620000,642823380
Haiti,13200000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20700000,20700000,600600000
Philippines,43200000,45000000,45000000,46200000,47400000,48600000,49860000,51180000,48600000,51720000,49200000,49260000,49740000,55020000,61200000,62400000,63600000,63600000,103200000,109200000,127500000,130500000,139500000,153000000,168000000,180000000,181800000,190800000,198000000,195000000,2807280000
Tanzania,240000,210000,1152000,1050000,1050000,816000,996000,1020000,1020000,840000,900000,900000,900000,1620000,2220000,2820000,2820000,2820000,2820000,2820000,2820000,3537000,4302000,4408020,4603020,5523000,5478000,5500020,5520000,5700000,76425060
Zambia,90000,90000,85920,60000,90000,36000,60000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,60000,60000,0,0,0,0,0,0,0,0,0,0,0,991920
Cameroon,4998000,4999980,4999980,6000000,6000000,6000000,6000000,6000000,6000000,6000000,4500000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4099980,4201020,4303980,4408980,4519020,4560000,4620000,4680000,4680000,4620000,143450940
Central African Rep.,1680000,1680000,1680000,1500000,900000,600000,600000,600000,1140000,1260000,180000,180000,227220,227220,180000,180000,180000,199980,300000,499980,600000,799980,1000020,1200000,1200000,1200000,1200000,1200000,1200000,1200000,24794400
Colombia,74100000,76140000,78180000,80340000,82500000,81540000,80580000,79680000,78720000,77820000,76920000,76020000,75120000,74220000,73380000,72540000,71677980,76855380,77430000,76468740,78661440,86103900,90854520,97021200,99927060,103222380,104186484,107596260,107484600,121486440,2536776384
Costa Rica,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,22500000,16071540,17726460,24433260,22853280,25385820,20103600,22844520,26929260,19767420,21200040,21900000,21120000,665335200
C̫te d'Ivoire,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,19000020,19000020,19000020,19000020,19000020,19000020,19000020,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,19020000,410260140
Dem. Rep. Congo,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,11880000,359880000
El Salvador,10800000,10800000,13800000,13800000,13800000,16200000,13800000,11500020,11500020,9198000,8640000,9198000,9198000,9198000,10350000,13446000,15228000,15030000,14658000,16098000,16560000,16404000,16596000,16500000,16800000,17100000,17520000,18000000,18000000,17520000,417242040
Eq. Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,72000000,75840000,79860000,84120000,88560000,93300000,98220000,103440000,108960000,114720000,120840000,127260000,134040000,141180000,148680000,156540000,164880000,173640000,182880000,186540000,190260000,194100000,197940000,201900000,205980000,210060000,214260000,218580000,221100000,226860000,4536540000
Gabon,102000,60000,48000,48000,60000,48000,49980,48000,48000,42900,18000,18000,18000,18000,18000,18000,18000,18000,16500,15000,56820,61920,58020,34980,31020,30000,30000,30000,30000,30000,1123140
Ghana,1020000,1020000,1020000,1020000,1680000,1680000,180000,180000,60000,60000,60000,60000,60000,60000,95400,95400,60000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,9970800
Guatemala,18000000,18000000,18000000,18600000,18600000,18600000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,20100000,19200000,20400000,21000000,21600000,22200000,22800000,23400000,23400000,23700000,23700000,23580000,590880000
Guinea,1500000,1500000,3750000,1980000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,86730000
Guyana,0,0,0,0,0,0,0,0,292020,261000,112980,250020,261000,285000,330000,336000,343020,420000,508020,493980,510000,516000,522000,528000,534000,540000,540000,540000,540000,540000,9203040
Honduras,11289240,15426000,14400000,13800000,15180000,9660000,10075440,9660000,8280000,10080000,13800000,12000000,12000000,12000000,13800000,13800000,13800000,14700000,16099980,18400020,20100000,20400000,20700000,21000000,21300000,21900000,22200000,22500000,22500000,21000000,471850680
India,54180000,55000020,55020000,49999980,50100000,50220000,50280000,50340000,54000000,55500000,58500000,64020000,67980000,70020000,72120000,74280000,76500000,81000000,76500000,79500000,79500000,79500000,82500000,84000000,85800000,87000000,86400000,88200000,88500000,87000000,2093460000
Jamaica,420000,660000,360000,576000,900000,900000,1080000,1200000,888000,660000,724020,600000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,18688020
Kenya,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3300000,3300000,3600000,3600000,3900000,4200000,4290000,95190000
Laos,0,0,0,0,0,0,0,0,0,0,0,0,9480000,6180000,8100000,8400000,8400000,8400000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9300000,9300000,9420000,157980000
Liberia,180000,180000,180000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,8640000
Mexico,82440000,72000000,78000000,64200000,61200000,70740000,74100000,72060000,66480000,69000000,78300000,90000000,90000000,90000000,90000000,103500000,120000000,132000000,132000000,132000000,141240000,141240000,141240000,139260000,140820000,139740000,141600000,144000000,147000000,145500000,3189660000
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,2040000,8280000,3936000,6534000,5376000,6690000,5722200,7380000,7590000,7818000,10495800,10639380,10777440,10914900,11056680,11203140,11351100,11498700,11648820,11797320,12164700,12315660,12471840,12573660,12704520,12836760,13003680,13080000,13200000,12600000,299700300
Nigeria,1650000,2145000,2145000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000,70740000
Panama,3780000,4020000,4020000,4020000,4600020,4600020,4600020,4836900,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,4020000,122916960
Sierra Leone,540000,540000,540000,300000,300000,480000,480000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,10080000
Sri Lanka,4000020,4020000,1680000,1200000,1200000,1200000,1200000,1200000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000,58300020
Thailand,11280000,13200000,13980000,15000000,16980000,25020000,19980000,23400000,25980000,25980000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,33000000,36000000,42000000,46500000,66000000,67800000,72000000,75000000,78000000,81000000,82500000,84000000,84000000,1248600000
Togo,60000,60000,60000,60000,60000,60000,60000,60000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,12600,14520,14280,11700,13200,15240,15240,15240,15600,2167620
Trinidad and Tobago,480000,690000,600000,600000,840000,840000,840000,840000,840000,840000,840000,840000,840000,840000,840000,840000,660000,660000,660000,660000,600000,600000,600000,600000,600000,600000,600000,600000,600000,600000,21090000
Uganda,4200000,4500000,4500000,4500000,4800000,4800000,4800000,6071400,6960000,7140000,8520000,8460000,8400000,7860000,8400000,9000000,10500000,10815000,11100000,11322000,12240000,12600000,12960000,13248000,13752000,14040000,14400000,14688000,15000000,15240000,284816400
Venezuela,46943400,48928800,50998200,53155800,55404000,57747600,60190800,62736599,65390400,68156400,71039400,74044200,77176200,80440800,83843400,87390000,91086600,94939800,98955600,99000000,99000000,99000000,99000000,99000000,99000000,99000000,99000000,96000000,93000000,76500000,2386067999
Vietnam,9000000,13800000,15000000,16020000,16020000,16910700,17850960,18843480,19891140,21000000,24097500,27651900,31130520,36410760,41781360,48000000,55020000,56280000,61260000,72480000,94980000,99000000,109500000,120000000,132000000,138000000,144000000,150000000,156000000,159000000,1920928320
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,8760000,8160000,8280000,8280000,7800000,7800000,7800000,7800000,7800000,7800000,7800000,7500000,6900000,6000000,5400000,3900000,3840000,121620000
Austria,80400000,78120000,72720000,80100000,65160000,60720000,64560000,65220000,66300000,67380000,52500000,60780000,55560000,43200000,59760000,46320000,36720000,50820000,54480000,53160000,54180000,67020000,76140000,74940000,68100000,68160000,71580000,69720000,70320000,70380000,1904520000
Belgium,0,0,0,0,0,0,0,0,0,50040000,67980000,53040000,89040000,94740000,83760000,69480000,92220000,66180000,39000000,56040000,52260000,56040000,54900000,74700000,75540000,64440000,90120000,78000000,81900000,71100000,1460520000
Luxembourg,67440000,42480000,41760000,47340000,57480000,64380000,62340000,53160000,78540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514920000
Bulgaria,6120000,1020000,10500000,19620000,21180000,23580000,14760000,16500000,19440000,21780000,16500000,21000000,20460000,23820000,21840000,25800000,25200000,21840000,26700000,24540000,23700000,21600000,22560000,25140000,22560000,24360000,27120000,24900000,25560000,25380000,625080000
Croatia,0,0,8100000,7920000,9840000,17280000,18240000,21660000,19200000,20220000,19620000,20220000,21300000,22500000,22200000,22440000,23160000,23160000,22620000,21960000,22200000,22020000,21600000,23220000,22080000,22500000,22800000,21660000,21600000,22860000,564180000
Cyprus,1860000,2700000,2340000,4680000,2700000,2580000,3120000,2760000,2760000,3240000,4020000,3180000,3060000,3180000,3600000,4200000,3300000,4140000,4620000,4500000,4440000,4860000,5100000,5340000,4860000,5580000,5580000,5820000,7800000,6900000,122820000
Czechia,39540000,31500000,28320000,26880000,30540000,30660000,28500000,29100000,31380000,33480000,33600000,37980000,38520000,37380000,36300000,39360000,37860000,40740000,37260000,31500000,28200000,34320000,41100000,38220000,59880000,42480000,48360000,48240000,69480000,50580000,1141260000
Denmark,51900000,54540000,57540000,53460000,54480000,45480000,53700000,48480000,51240000,52140000,47460000,52080000,48300000,43440000,50940000,47700000,49320000,47640000,41280000,40560000,48360000,45720000,48000000,49320000,44880000,43860000,45180000,43980000,44340000,46680000,1452000000
Estonia,0,0,780000,2640000,3780000,4980000,5040000,5940000,5400000,5700000,5820000,6420000,6660000,6840000,7740000,8700000,10020000,6060000,9240000,7380000,6300000,4020000,6240000,7200000,7020000,7140000,7260000,6540000,7560000,7380000,175800000
Finland,64200000,57960000,61800000,67740000,63000000,44100000,54060000,56340000,60060000,58740000,58020000,56820000,58200000,57960000,62040000,66120000,62820000,63420000,66900000,63480000,64800000,65580000,64920000,65700000,61800000,66600000,68820000,63720000,66360000,80880000,1872960000
France,312300000,333420000,336840000,330420000,306660000,318780000,330720000,329220000,321060000,334680000,324120000,315180000,331560000,323640000,295740000,287220000,316680000,337680000,309120000,340620000,342780000,357720000,347400000,342420000,357240000,335460000,322500000,333000000,359160000,371520000,9904860000
Germany,436740000,742620000,574200000,679500000,492840000,673860000,635640000,580200000,598560000,584880000,526200000,543540000,509880000,569940000,626700000,519900000,549060000,517620000,572100000,533820000,557520000,567600000,529800000,562680000,520920000,505260000,514980000,513300000,507660000,520200000,16767720000
Greece,37860000,23220000,19200000,8880000,21360000,22980000,42900000,44340000,40080000,38460000,41220000,32880000,49620000,55740000,52260000,52200000,51420000,60900000,58680000,58440000,59640000,61380000,64560000,66060000,65280000,62940000,83160000,45360000,63540000,68340000,1452900000
Hungary,34440000,22800000,20880000,33420000,43440000,26820000,34260000,36120000,39120000,39420000,37980000,38820000,38220000,38760000,42480000,34200000,35880000,31320000,29640000,26700000,22560000,10800000,15120000,10620000,24000000,24240000,22260000,24480000,26880000,25080000,890760000
Ireland,7200000,6780000,5460000,6420000,7620000,6420000,5220000,5820000,5520000,8100000,4980000,8760000,8160000,9060000,13500000,13380000,12180000,14640000,6900000,8040000,9600000,10740000,12840000,11760000,15420000,17580000,19080000,17460000,22200000,22200000,323040000
Italy,289920000,255240000,247920000,293280000,286440000,278640000,286560000,294780000,296160000,295140000,308940000,314580000,310920000,330420000,328140000,333120000,335580000,349260000,353520000,348360000,346860000,341340000,342600000,338040000,351660000,339600000,359880000,336600000,357300000,328140000,9578940000
Latvia,0,0,1140000,2460000,360000,840000,3000000,7200000,8040000,9960000,9720000,9000000,8700000,9540000,9300000,8640000,10860000,7860000,6900000,5280000,5940000,6060000,6060000,5700000,6600000,6360000,6660000,7080000,5880000,6840000,181980000
Lithuania,0,0,120000,540000,2220000,4080000,3960000,6480000,8100000,9480000,10380000,12240000,12480000,10380000,11820000,11580000,12780000,13800000,12240000,12600000,13380000,10800000,11580000,11820000,13380000,12720000,14520000,14400000,15720000,15060000,288660000
Luxembourg,0,0,0,0,0,0,0,0,0,3660000,8640000,7980000,10320000,11400000,13260000,13620000,13980000,15060000,14340000,13320000,13920000,12900000,12720000,14460000,15300000,13320000,13380000,12660000,15360000,13440000,263040000
Malta,1200000,780000,960000,1320000,720000,1260000,540000,540000,420000,540000,540000,540000,540000,660000,960000,960000,1740000,960000,1380000,840000,720000,960000,1260000,1320000,1500000,900000,1080000,960000,1140000,1380000,28620000
Netherlands,142980000,149280000,195660000,163140000,127320000,137580000,150540000,142020000,117660000,88260000,111600000,100620000,94440000,104580000,118680000,115620000,127740000,137520000,79440000,53880000,80820000,54540000,82920000,97500000,108000000,101760000,124740000,117840000,128700000,121800000,3477180000
Poland,20100000,14580000,99000000,92700000,104520000,98220000,105300000,117960000,117900000,119100000,122760000,133320000,132060000,134520000,136860000,136020000,119580000,93240000,100860000,120060000,129360000,122040000,116160000,100140000,69000000,85200000,118500000,134460000,146160000,150060000,3289740000
Portugal,28020000,26880000,34380000,31740000,40380000,37920000,36900000,36180000,41760000,44220000,38760000,44700000,43200000,39420000,45780000,44640000,46080000,46140000,44820000,43860000,48720000,51540000,49680000,50400000,51180000,46980000,52020000,50640000,52380000,55860000,1305180000
Romania,26520000,20100000,36060000,25200000,20820000,33000000,41760000,37800000,35040000,30420000,33060000,37980000,44280000,45300000,49080000,51420000,50100000,49440000,48420000,46500000,47760000,48120000,50940000,53460000,54780000,58920000,64320000,66180000,67200000,66480000,1340460000
Slovakia,0,0,0,16560000,14040000,13380000,14640000,14040000,14460000,14940000,15780000,17040000,16500000,17100000,16980000,17580000,16860000,21360000,20460000,12780000,20220000,23280000,12060000,19680000,29880000,16020000,13560000,9120000,16680000,13620000,448620000
Slovenia,0,0,6900000,8880000,9120000,8400000,9840000,9660000,9720000,10260000,10380000,10980000,11280000,10020000,11100000,10860000,10560000,11700000,11640000,11880000,12300000,12480000,11100000,11040000,11220000,11280000,11580000,11400000,13080000,12240000,300900000
Spain,162840000,159060000,182700000,163680000,166440000,163920000,174060000,178620000,179760000,199440000,179460000,167700000,169980000,164400000,162300000,180420000,181020000,191880000,209100000,201120000,193920000,188940000,206100000,194040000,221760000,211440000,206220000,189060000,185700000,195180000,5530260000
Sweden,101340000,96240000,98040000,97080000,100140000,72240000,77880000,74460000,74880000,76740000,70380000,75060000,73440000,70680000,74040000,70200000,78900000,74640000,76320000,67980000,73260000,67500000,69540000,70500000,99120000,97380000,107880000,103560000,100980000,106140000,2496540000
Japan,303600000,348540000,307920000,344400000,358380000,366960000,350280000,358080000,363120000,376380000,397560000,416160000,412500000,406200000,427020000,427680000,436080000,436920000,423900000,427800000,431520000,420900000,427860000,446100000,449640000,461700000,472320000,464520000,470040000,453060000,12187140000
Norway,43620000,45480000,44160000,41400000,48000000,39420000,42780000,40500000,42120000,47100000,39420000,42600000,41520000,40980000,42540000,44580000,43260000,46260000,42900000,42900000,44760000,47100000,43380000,45780000,43740000,47280000,46920000,46860000,44040000,46260000,1317660000
Russia,0,0,82620000,107700000,102720000,99000000,63780000,111420000,98820000,81120000,111780000,181920000,207060000,220740000,184620000,191100000,193260000,238620000,217980000,186780000,222000000,225240000,221760000,218880000,241260000,230760000,266340000,270720000,254040000,289200000,5121240000
Switzerland,54420000,56940000,59700000,52140000,56640000,56100000,55320000,42720000,48660000,51780000,49620000,48960000,49260000,51120000,43320000,65940000,55920000,59340000,68940000,57960000,60720000,62040000,62820000,67380000,61680000,65760000,63960000,53640000,70200000,64380000,1717380000
Tunisia,6060000,5400000,6660000,6060000,8220000,8220000,8640000,9900000,8820000,11100000,11520000,13920000,14040000,7200000,15780000,11400000,12000000,15180000,19020000,17340000,18060000,24900000,25260000,25740000,27600000,27480000,27900000,32760000,31980000,30480000,488640000
United Kingdom,140880000,140520000,150960000,152040000,158400000,132000000,144360000,146460000,155280000,136560000,140520000,132900000,135660000,134160000,147480000,160800000,183540000,169440000,184020000,193200000,188040000,175500000,175560000,169680000,175680000,215460000,210060000,199980000,227280000,226200000,5002620000
United States of America,1097880000,1119660000,1097400000,1153020000,1039560000,1041780000,1083540000,1067700000,1116240000,1161540000,1124760000,1173240000,1147500000,1211580000,1258380000,1259880000,1240020000,1261980000,1299120000,1286160000,1306980000,1322640000,1333920000,1405020000,1426020000,1466280000,1514580000,1570980000,1590840000,1638600000,37816800000
