Item Name,Roastery,Roast Level,Region,Flavour Profile,Roast Type,Process,Variety,Brewing Method,Coffee Origin,Rating,Recommended,Price
Ethiopia Jenny's BARREL COFFEE - maturing in whiskey barrels,The naughty dog,Omni,Agaro - Jimma,"Chocolate,Caramel,Forest fruit,Whiskey",Omni,Washed,"74110,74112,Heirloom","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Ethiopia,4.5,96.0,14.99
Rwanda KIRAMBO,The naughty dog,Omni,Nyamasheke District,"Milk chocolate,Blueberries,Mulled wine,Lemon marmalade",Omni,Natural,Red Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Rwanda,4.4,100.0,11.99
Ethiopia Jenny's BARREL COFFEE - 1000g,The naughty dog,Omni,Agaro - Jimma,"Chocolate,Caramel,Forest fruit,Whiskey",Omni,Washed,"74110,74112,Heirloom","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Ethiopia,4.5,96.0,54.99
Ethiopia MALAWO - black honey,The naughty dog,Light to Medium Light,Bensa,"Peach ice tea,Jasmine,Forest strawberries,Passion fruit",Filter,Honey,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,5.0,100.0,12.99
Kenya NGANDU,The naughty dog,Light to Medium Light,Nyeri,"Redcurrant,Maple syrup,Lime",Filter,Washed,"SL28,SL34","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Kenya,5.0,100.0,11.99
Colombia BOLIVAR,The naughty dog,Light to Medium Light,Antioquia,"Caramel,Forest fruit,Rum",Filter,Natural,"Castillo,Caturra","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia,4.7,100.0,11.99
Ethiopia GENJI CHALLA,The naughty dog,Light to Medium Light,Jimma - Oromia,"Bergamot,Black tea,Nectarines,Orange",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,4.3,50.0,11.99
Yemen BANI AL AREEF,The naughty dog,Light to Medium Light,Jemen - Haraz,"Black tea,Cotton candy,Red orange,Dried strawberries",Filter,Experimental,Jaadi,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Yemen,4.7,100.0,18.99
Brazil FAZENDA SALTO - 1000g,The naughty dog,Medium to medium dark,Sul de Minas,"Sugarcane,Dark Bitter chocolate,Plum jam",Espresso,Natural,Yellow Bourbon,"Moka pot,Espresso",Brazil,4.3,83.0,39.99
Ethiopia MALAWO - black honey - 1000g,The naughty dog,Light to Medium Light,Bensa,"Jasmine,Passion fruit,Forest strawberries,Peach ice tea",Filter,Honey,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,5.0,100.0,59.99
HOME OFFICE blend,Candycane Coffee,Medium to medium dark,,"Dark Bitter chocolate,Caramel,Hazelnuts",Espresso,Natural,Red Catuai,"Espresso,Moka pot","Indonesia,Brazil",4.4,92.0,11.99
Costa Rica HACIENDA SONORA - cascara,Candycane Coffee,,Grecia,"Rhubarb,Ripe cherries,Rosehip tea",,Natural,"SL28,Caturra,Catuai,Marsellesa,Sarchimor (T5296)",,Costa Rica,5.0,100.0,14.99
KANCL ESPRESSO blend - 1000g,Candycane Coffee,Medium to medium dark,Brazílie - Lambari,"Dark Bitter chocolate,Honey,Hazelnuts",Espresso,Natural,Red Catuai,"Espresso,Moka pot","Indonesia,Brazil",3.8,75.0,34.99
CLASSIC capsules for nespresso coffee machines - 12pcs/pack,Candycane Coffee,Medium to medium dark,Sao Joao Del Rey,"Caramel,Hazelnuts,Milk chocolate",Espresso,,,"Moka pot,Espresso",Brazil,5.0,100.0,8.99
Ethiopia LEMON SQUEEZE,DAK Coffee Roasters,Light to Medium Light,Hamasho,"Peach,Vanilla,Ice tea,Lemon tea,Sedmikráska",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,5.0,100.0,17.99
Colombia CANDY CRUSH - filter,DAK Coffee Roasters,Light to Medium Light,Quindìo,"Caramel,Chewing gums,Marshmallow,Jahodové lízátko",Filter,Experimental,Caturra,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia,5.0,100.0,29.99
Brazil PRETTY NUTS,DAK Coffee Roasters,Medium to medium dark,Alta Mogiana,"Peanut butter,Forest fruit,Liqueur Grand Marnier,Milk chocolate",Espresso,Natural,Catuai,"Moka pot,Espresso",Brazil,4.0,100.0,15.99
Rwanda RUSHASHI - OWOC,HAYB Speciality Coffee,Light to Medium Light,Gakenke,"Apple,Forest fruit",Filter,Washed,Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Rwanda,3.9,75.0,13.99
Brazil CERRADO - KLASYK,HAYB Speciality Coffee,Light to Medium Light,Cerrado Patrocinio,Chocolate,Filter,Natural,,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Brazil,4.0,100.0,12.99
WHAT THE FUNK espresso blend,HAYB Speciality Coffee,Medium to medium dark,Guji,"Milk chocolate,Forest fruit,Red fruits",Espresso,,Heirloom,"Espresso,Moka pot",Ethiopia,3.9,60.0,14.99
Colombia LA PRADERA,HAYB Speciality Coffee,Light to Medium Light,Santander,"Apricots,Apple,Watermelon",Filter,Natural,"Castillo,Tabi","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia,4.5,100.0,15.99
Colombia EL PUENTE - TROPICS,HAYB Speciality Coffee,Light to Medium Light,Cauca,"Caramel,Rum,Tropical fruit",Filter,Natural,,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia,3.8,100.0,13.99
Ethiopia BOMBE - espresso,Father's Coffee Roastery,Medium to medium dark,Sidamo,"Apricots,Black tea,Jasmine,Gingerbread,Bergamot",Espresso,Washed,Heirloom,"Espresso,Moka pot",Ethiopia,4.0,100.0,16.99
MOTHER-SHIP BLEND - 1000g,Father's Coffee Roastery,Medium to medium dark,Cuzco,"Milk chocolate,Flowers",Espresso,,"Caturra,Heirloom,Bourbon","Espresso,Moka pot","Peru,Ethiopia",4.0,50.0,37.99
MOTHER-SHIP BLEND,Father's Coffee Roastery,Medium to medium dark,Etiopie- Chelchelie,"Milk chocolate,Flowers",Espresso,Washed,"Caturra,Bourbon","Espresso,Moka pot","Peru,Ethiopia",4.0,50.0,13.99
Brazil CAFEINA,Father's Coffee Roastery,Medium to medium dark,Sul de Minas,"Sweet tobacco,Hazelnut butter",Espresso,Natural,"Mundo Novo,Yellow Catuai","Espresso,Moka pot",Brazil,2.9,50.0,11.99
Brazil CAFEINA - 1000g,Father's Coffee Roastery,Medium to medium dark,Sul de Minas,"Hazelnut butter,Sweet tobacco",Espresso,Natural,"Mundo Novo,Yellow Catuai","Moka pot,Espresso",Brazil,2.9,50.0,34.99
Ethiopia BOMB,Father's Coffee Roastery,Light to Medium Light,Sidamo,"Bergamot,Black tea,Jasmine,Gingerbread,Apricots",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,4.5,100.0,16.99
Ethiopia BOMBE - nespresso capsules 10pcs/pack,Father's Coffee Roastery,,Sidamo,"Black tea,Jasmine,Gingerbread,Bergamot",,Washed,Heirloom,,Ethiopia,4.5,100.0,8.49
Brazil CAFEINA - nespresso capsules 10pcs/pack,Father's Coffee Roastery,,Carmo da Cachoeira,"Nuts,Chocolate,Marzipan",,Natural,,,Brazil,2.9,50.0,7.99
AUTOMATIC ESPRESSO blend,Industra Coffee,Medium to medium dark,Serra Negra,"Hazelnuts,Dark chocolate,Candied orange",Espresso,Natural,,"Espresso,Moka pot",Brazil,4.5,100.0,37.99
Guatemala ASPROCDEGUA,Industra Coffee,Medium to medium dark,Huehuetenango,"Caramel,Blackberry,Pecans",Espresso,Washed,"Caturra,Catimor,Bourbon,Pache,Maragogype","Espresso,Moka pot",Guatemala,5.0,100.0,14.99
Indonesia RADIOPHARE,The Barn,Light to Medium Light,West Java,"Passionflower,Raisins,Cinnamon,Plums,Demerara sugar",Filter,Natural,"Catimor,Line S,Typical","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Indonesia,4.7,100.0,16.99
Rwanda MAHEMBE,The Barn,Light to Medium Light,Western Province,"Cocoa,Nutmeg,Cherries",Filter,Washed,Red Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Rwanda,4.7,100.0,14.99
Brazílie DATTERA RESERVE ,The Barn,Omni,Cerrado,"Nougat,Cherry jam",Omni,Natural,Aramosa,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Brazil,4.6,100.0,16.99
Peru AROMAS DEL VALLE,The Barn,Medium to medium dark,Cajamarca,"Tangerines,Cookies",Espresso,Washed,"Catuai,Caturra","Moka pot,Espresso",Peru,3.5,100.0,15.99
Brazil MOCOCA - capsules 10pcs/bal,The Barn,,Mococa,"Caramel,Vanilla",,,,,Brazil,5.0,100.0,8.49
Ethiopia TELILA HONEY YUKRO,Square Mile,Light to Medium Light,Jimma,"White peach,Apricots",Filter,Honey,"JARC 74110,JARC 74112","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,5.0,100.0,18.99
EASTER ESPRESSO blend - Easter limited edition,Square Mile,Medium to medium dark,Kirinyaga,"Chocolate,Cherries",Espresso,Washed,Caturra,"Moka pot,Espresso","Kenya,Peru",1.5,0.0,19.99
SWEETSHOP ESPRESSO blend - 2022 - 1000g,Square Mile,Medium to medium dark,Jimma,"Berries,Peach,Marshmallow,Apricots",Espresso,,Heirloom,"Moka pot,Espresso",Ethiopia,3.0,100.0,59.99
Ethiopia KOKEB SIWANI,Gardelli Coffee,Omni,Yirgacheffe,"Orange,Strawberries,Blueberries,Papaya,Lime",Omni,Natural,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Ethiopia,5.0,100.0,19.99
Ethiopia URAGA,Gardelli Coffee,Omni,Uraga,"Orange,Strawberries,Mango,Papaya",Omni,Anaerobic,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Ethiopia,4.3,100.0,19.99
CIGNOBIANCO® SIGNATURE BLEND,Gardelli Coffee,Medium to medium dark,Santa Rosa,"Caramel,Milk chocolate,Plums,Almond",Espresso,,"Caturra,Heirloom","Espresso,Moka pot","Guatemala,Ethiopia",4.1,80.0,13.99
Ethiopia WUBANCHI,Gardelli Coffee,Omni,Guji,"Roses,Orange,Pear,Raspberries,Elderflower",Omni,Experimental,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Ethiopia,5.0,100.0,19.99
Colombia VILLAMARIA - decaffeinated,Gardelli Coffee,Omni,Caldas,"Guava,Brown sugar,Cocoa,Honey",Omni,Natural,"Castillo,Colombia","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Colombia,4.3,100.0,16.99
Brazil DIAMOND - 1000g,Beansmith.s,Medium to medium dark,Minas Gerais,"Hazelnuts,Milk chocolate",Espresso,Natural,"Bourbon,Catuai,Mundo Novo","Moka pot,Espresso",Brazil,3.8,75.0,34.99
Brazil DIAMOND,Beansmith.s,Medium to medium dark,Minas Gerais,"Milk chocolate,Hazelnuts",Espresso,Natural,A mixture of varieties,"Espresso,Moka pot",Brazil,3.8,75.0,9.99
Brazil DIAMOND - nespresso capsules 20 pcs/pack,Beansmith.s,,Minas Gerais,"Hazelnuts,Milk chocolate",,Natural,"Bourbon,Catuai,Mundo Novo",,Brazil,3.8,75.0,13.99
Ethiopia COMMON GROUNDS - maturing in whiskey barrels,Dark Woods Coffee,Omni,Yirgacheffe,"Milk chocolate,Dried fruit,Vanilla",Omni,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Ethiopia,4.8,97.0,17.99
Ethiopia COMMON GROUNDS - sample,Dark Woods Coffee,Omni,Yirgacheffe,"Milk chocolate,Dried fruit,Vanilla",Omni,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Ethiopia,4.8,97.0,5.49
Ethiopia CHELCHELE,Main Lane Coffee Roasters,Light to Medium Light,Yirgacheffe,"Raspberries,Blackberry,Green tea",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,5.0,100.0,18.99
Panama AUROMAR,Nordbeans,Light to Medium Light,Chiriqui,"Caramel,Red apple,Green tea",Filter,Natural,Catuai,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Panama,4.5,67.0,13.99
Brazil HORIZONT,Nordbeans,Medium to medium dark,Minas Gerais,"Chocolate,Hazelnuts,Ripe fruit",Espresso,Natural,Yellow Catuai,"Espresso,Moka pot",Brazil,3.5,50.0,11.99
Ethiopia HAPPY BIRTHDAY KOFIO - filter,Good Beans,Light to Medium Light,Sidama,"Berry fruits,Chocolate,Tropical fruit",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,5.0,100.0,16.99
Peru CHIRINOS,Good Beans,Omni,Chirinos,"Honey,Chocolate",Omni,Washed,"Caturra,Typical,Pache","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Peru,3.0,0.0,16.99
Rwanda GAKENKE,Good Beans,Medium to medium dark,Gakenke,"Candied orange,Stone fruit",Espresso,Washed,Bourbon,"Moka pot,Espresso",Rwanda,3.8,33.0,16.99
Ethiopia SAYISA - anaerobic,Concept Coffee Roasters,Light to Medium Light,Hambella,"Blueberries,Gummy bears,Coke",Filter,Anaerobic,Dega,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,4.4,99.0,16.99
Kenya GAKUYUINI,Morgon Coffee Roasters,Light to Medium Light,Kirinyaga,"Blackberry,Jam,Gooseberry",Filter,Washed,"SL28,SL34,K7","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Kenya,4.4,99.0,17.99
Ethiopia IDIDO,BeBerry Coffee,Light to Medium Light,Yirgacheffe,"Orange flower,Bergamot,Ice tea,White peach",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,4.6,92.0,16.99
Kenya RUBY BATIAN NX,Coffea Circulor,Light to Medium Light,Meru,"Blueberries,Apple,Mango,Yellow plums",Filter,Natural,Batian,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Kenya,5.0,100.0,19.99
Ethiopia DUROMINA WX,Coffea Circulor,Light to Medium Light,Jimma,"Apricots,Orange,Blackberry",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,4.0,100.0,17.99
Panama AGATSBY GEISHA CCX - WCIGS Winner,Coffea Circulor,Light to Medium Light,Callejón Seco,"Peach,Pear,Lychee,Prosecco,Roses,Tropical fruit",Filter,Experimental,Geisha (Gesha),"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Panama,5.0,100.0,19.99
Brazil RAFAEL VINHAL - birthday coffee,Dos Mundos,Light to Medium Light,Minas Gerais,"Flowers,Carambola,Rambutan",Filter,Experimental,Catuaí 144,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Brazil,4.0,100.0,15.99
Kenya KEGWA AA,Dos Mundos,Light to Medium Light,Kirinyaga,"Blackberry,White grapes,Limetkový cheesecake",Filter,Washed,"Batian,SL28,SL34,Ruiru 11","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Kenya,4.5,100.0,14.99
Colombia MARISOL NAÑEZ,Dos Mundos,Light to Medium Light,Huila,"Peach,Lime,Green apple",Filter,Washed,Pink Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia,4.5,100.0,14.99
KLAKSON COFFEE nespresso capsules - 10 pcs/ pack,Dos Mundos,,,"Cocoa,Marzipan,Plum jam",,,"Bourbon,Yellow Catuai",,"Brazil,Ethiopia,Peru",3.9,100.0,8.49
Funky capsules for nespresso coffee machines - 10pcs/bal,Doubleshot,,Volcan,"Pineapple,Cocoa nibs,Mon Cheri",,Natural,Red Catuai,,Panama,5.0,100.0,8.49
Start capsules for nespresso coffee machines - 10pcs/pack,Doubleshot,,Guatemala - Ayarza lake,"Caramel,Milk chocolate,Hazelnuts",,,"Catuai,Bourbon",,"Guatemala,Brazil",5.0,100.0,7.49
FIFTY ESPRESSO blend,Fiftybeans,Medium to medium dark,Bálsamo - Quezaltepec,"Dark Bitter chocolate,Dutch cocoa,Cocoa nibs",Espresso,,"Catuai,Castillo","Espresso,Moka pot","Colombia,Brazil",4.8,100.0,11.99
BLØND FILTER blend,Fiftybeans,Light to Medium Light,Mixteca,"Nougat,Cocoa,Nuts,Citrus",Filter,,"Catuai,Typical,Bourbon","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot","Colombia,Mexico",4.3,100.0,11.99
FIFTY ESPRESSO blend - 1000g,Fiftybeans,Medium to medium dark,Bálsamo - Quezaltepec,"Dark Bitter chocolate,Dutch cocoa,Cocoa nibs",Espresso,Washed,"Catuai,Castillo","Espresso,Moka pot","Colombia,Brazil",4.8,100.0,34.99
Colombia PURPLE FRUIT,Fiftybeans,Light to Medium Light,Quindìo,"Bonpary,Forest fruit,Lilac",Filter,Experimental,Castillo,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia,4.3,89.0,17.99
